key,targname,tarkey1,type,equinox,obs_time,ra_targ,dec_targ,ra_calc,dec_calc,offset_arcsec,epoch_gap_yr,nongrav,other,has_lv2
6663/u3du0301t_shm.fits,HALE-BOPP-2,COMET HALE-BOPP,COMET,J2000,23-SEP-1996:03:57:39,262.525022,-5.377184,262.527364,-5.378795,10.202,0.19,False,False,False
5829/y3490201p_shf.fits,SW1,COMET SCHWASSMANN-WACHMANN-1,COMET,J2000,11-MAR-1996:23:15:29,156.812788,4.342270,156.810092,4.343141,10.172,0.13,False,False,False
7594/u3x40101m_shm.fits,SPACEWATCH,COMET,COMET,J2000,07-MAY-1997:00:28:39,133.374605,12.175151,133.371889,12.175920,9.951,0.07,False,False,True
16043/ie8501a6q_spt.fits,I2-BOROSOV,COMET,COMET,J2000,23-DEC-2019:01:58:49,177.989951,-29.474831,177.991259,-29.477338,9.910,0.01,False,False,False
15372/idpyc1c7q_spt.fits,46P-WIRTANEN-V11-14,COMET,COMET,J2000,03-DEC-2018:04:28:45,40.199974,-16.381257,40.201158,-16.378757,9.886,0.00,True,False,False
6663/y3du0401t_shf.fits,HALE-BOPP-2,COMET HALE-BOPP,COMET,J2000,23-SEP-1996:10:24:21,262.516069,-5.364247,262.518341,-5.365753,9.784,0.19,False,False,False
16044/je7m06ifq_spt.fits,BORISOV-VISIT6,COMET,COMET,J2000,28-JAN-2020:08:41:45,190.294175,-53.247045,190.295422,-53.249591,9.551,0.06,True,False,False
15625/ldx603b3q_spt.fits,46P-WIRTANEN-OFFSET1,COMET,COMET,J2000,12-JAN-2019:17:34:22,129.480443,59.317873,129.485214,59.316821,9.549,0.01,True,False,True
18152/ifle01fbq_spt.fits,3I-ATLAS-OCT10,COMET,COMET,J2000,30-NOV-2025:20:40:06,180.564798,0.417761,180.562388,0.418621,9.211,0.34,False,False,False
16044/je7m03awq_spt.fits,BORISOV-VISIT3,COMET,COMET,J2000,14-DEC-2019:17:38:25,174.634088,-23.084903,174.635303,-23.087190,9.162,0.02,False,False,False
7428/u4jm0101r_shm.fits,TEMPEL-TUTTLE,COMET,COMET,J2000,09-JAN-1998:12:57:09,185.458357,51.799394,185.457521,51.801871,9.110,0.00,False,False,False
8699/u65z7i01r_shm.fits,MCNAUGHT,Comet,COMET,J2000,01-FEB-2001:11:34:06,246.066488,15.035975,246.067913,15.037938,8.631,0.17,False,False,False
5361/u2ke0101t_shm.fits,COMET-BORRELLY-1987XXXIII,COMET BORRELLY 1987XXXIII,COMET,B1950,28-NOV-1994:09:56:39,132.491328,34.505839,132.493986,34.506772,8.572,0.12,True,False,False
10625/j9fr01010_spt.fits,73P-SW3-C,COMET,COMET,J2000,10-APR-2006:23:11:28,225.027843,22.846905,225.025799,22.848284,8.405,0.06,True,False,False
14261/jcz304010_spt.fits,COMET-67P-CHURYUMOV-GER-UPDATE,COMET,COMET,J2000,10-NOV-2015:00:36:25,166.857865,12.445994,166.860128,12.445281,8.359,0.04,True,False,False
16049/le7i12e5q_spt.fits,BORISOV-JPL49,COMET,COMET,J2000,30-DEC-2019:23:06:24,181.031473,-35.323010,181.032563,-35.325111,8.211,0.03,True,False,False
8699/u65z7u01m_shm.fits,SW3C,Comet,COMET,J2000,02-NOV-2001:13:45:07,45.283416,9.376220,45.281176,9.375834,8.075,0.81,False,False,False
13474/jcdj01010_spt.fits,ISON,COMET,COMET,J2000,26-OCT-2013:20:12:01,162.239344,9.340146,162.241368,9.339147,8.043,0.80,False,False,False
16049/le7i13feq_spt.fits,BORISOV-JPL50,COMET,COMET,J2000,13-JAN-2020:15:56:47,185.913134,-44.701660,185.914208,-44.703734,7.955,0.02,True,False,False
16049/le7i01oeq_spt.fits,BORISOV,COMET,COMET,J2000,11-DEC-2019:18:08:52,173.410028,-20.786619,173.411084,-20.788585,7.918,0.02,True,False,False
16044/je7m04evq_spt.fits,BORISOV-VISIT4-5,COMET,COMET,J2000,06-JAN-2020:18:44:28,183.535311,-40.138095,183.536354,-40.140107,7.793,0.05,True,False,False
16418/ief501faq_spt.fits,2020F3,COMET,COMET,J2000,08-AUG-2020:05:00:59,199.911242,15.982021,199.912691,15.980401,7.692,0.01,False,False,False
8699/u65z7l01r_shm.fits,FINLAY,Comet,COMET,J2000,21-MAY-2001:03:59:07,236.363446,-21.535727,236.361201,-21.535371,7.626,0.74,False,False,False
13199/jc7f01010_spt.fits,ISON,COMET,COMET,J2000,07-MAY-2013:20:13:39,101.129721,29.196065,101.131990,29.195326,7.612,0.33,False,False,False
12607/lbws14s6q_spt.fits,C-2009P1-GARRADD-NEW,COMET,COMET,J2000,19-JAN-2012:03:26:24,261.595542,33.852767,261.595120,33.854761,7.289,0.07,False,False,False
9062/o6ja01010_spt.fits,BORRELLY,COMET,COMET,J2000,21-SEP-2001:15:56:09,117.467731,20.502708,117.469780,20.503156,7.096,0.04,True,False,False
16044/je7m01euq_spt.fits,BORISOV,COMET,COMET,J2000,25-NOV-2019:19:14:35,166.675456,-8.691607,166.676460,-8.693305,7.080,0.17,True,False,False
14103/icvbb1e3q_spt.fits,252P-3,COMET,COMET,J2000,04-APR-2016:16:08:41,263.529305,-5.192281,263.529274,-5.190319,7.065,0.00,False,False,False
12312/lbk616xmq_spt.fits,103P-HARTLEY-2,COMET,COMET,J2000,25-SEP-2010:01:15:20,358.880092,51.604955,358.881538,51.606656,6.924,0.00,True,False,False
17302/if3w01hjq_spt.fits,96P-FIELD1,COMET,COMET,J2000,20-JUN-2023:16:07:58,273.989982,-17.817539,273.988071,-17.817943,6.709,0.31,False,False,False
